"Data set title: Merryl Alber. 2016. Long-term Mollusc Population Abundance and Size Data from the Georgia Coastal Ecosystems LTER Fall Marsh Monitoring Program. Georgia Coastal Ecosystems LTER Data Catalog (data set INV-GCES-1610; http://gce-lter.marsci.uga.edu/data/INV-GCES-1610)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Date","Year","Site_Name","Site","Zone","Plot","Location","Flag_Location","Location_Notes","Longitude","Flag_Longitude","Latitude","Flag_Latitude","Species","Mollusc_Count","Quadrat_Area","Mollusc_Density","Notes"
"YYYY-MM-DD","YYYY","none","none","none","none","none","none","none","degrees","none","degrees","none","none","Count","m^2","Count/m^2","none"
"datetime","datetime","nominal","code","code","nominal","nominal","code","text","coord","code","coord","code","code","data","data","calculation","text"
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Littoraria",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Melampus",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Detracia",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Hydrobiidae",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Ilyanassa",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Geukensia",1,0.2500,4,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Polymesoda",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,1,"GCE1_CB1","","",-81.422539,"",31.538627,"","Crassostrea",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Littoraria",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Melampus",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Detracia",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Hydrobiidae",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Ilyanassa",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Geukensia",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Polymesoda",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,3,"GCE1_CB13","E","location estimated based on location of a single replacement plot within approximately 3m",-81.422441,"E",31.538468,"E","Crassostrea",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,6,"GCE1_CB36","E","location estimated based on locations of 3 replacement plots within approximately 9m",-81.422287,"E",31.538494,"E","Littoraria",0,0.2500,0,""
2000-10-30,2000,"GCE1",1,1,6,"GCE1_CB36","E","location estimated based on locations of 3 replacement plots within approximately 9m",-81.422287,"E",31.538494,"E","Melampus",0,0.2500,0,""
